  Time                  I(Rs)                 V(R40:2)              V(C2:+)              
  2.602339553495e-003  8.623209446969e-001  -3.449283778787e+000  -2.998068730801e-001  
  2.603339576383e-003  8.692560211933e-001  -3.477024084773e+000  -3.023151796340e-001  
  2.604339599271e-003  8.761367022793e-001  -3.504546809117e+000  -3.048115507560e-001  
  2.605339622159e-003  8.829710305243e-001  -3.531884122097e+000  -3.072958878889e-001  
  2.606339645047e-003  8.897787967634e-001  -3.559115187054e+000  -3.097680929511e-001  
  2.607339667935e-003  8.965669685511e-001  -3.586267874204e+000  -3.122280683395e-001  
  2.608339690824e-003  9.033297677433e-001  -3.613319070973e+000  -3.146757169342e-001  
  2.609339713712e-003  9.100474326987e-001  -3.640189730795e+000  -3.171109421017e-001  
  2.610339736600e-003  9.167092637962e-001  -3.666837055185e+000  -3.195336476991e-001  
  2.611339759488e-003  9.233521684004e-001  -3.693408673602e+000  -3.219437380778e-001  
  2.612339782376e-003  9.299642033875e-001  -3.719856813550e+000  -3.243411180871e-001  
  2.613339805265e-003  9.365506184054e-001  -3.746202473622e+000  -3.267256930783e-001  
  2.614339828153e-003  9.430972062755e-001  -3.772388825102e+000  -3.290973689082e-001  
  2.615339851041e-003  9.496023141064e-001  -3.798409256426e+000  -3.314560519427e-001  
  2.616339873929e-003  9.560340085634e-001  -3.824136034254e+000  -3.338016490608e-001  
  2.617339896817e-003  9.624356546870e-001  -3.849742618748e+000  -3.361340676580e-001  
  2.618339919706e-003  9.688185340733e-001  -3.875274136293e+000  -3.384532156505e-001  
  2.619339942594e-003  9.751763439268e-001  -3.900705375707e+000  -3.407590014778e-001  
  2.620339965482e-003  9.815208769406e-001  -3.926083507762e+000  -3.430513341074e-001  
  2.621339988370e-003  9.878302495455e-001  -3.951320998182e+000  -3.453301230378e-001  
  2.622340011258e-003  9.940451379815e-001  -3.976180551926e+000  -3.475952783021e-001  
  2.623340034146e-003  1.000229964479e+000  -4.000919857916e+000  -3.498467104719e-001  
  2.624340057035e-003  1.006414489269e+000  -4.025657957076e+000  -3.520843306603e-001  
  2.625340079923e-003  1.012562508705e+000  -4.050250034822e+000  -3.543080505259e-001  
  2.626340102811e-003  1.018625007721e+000  -4.074500030882e+000  -3.565177822761e-001  
  2.627340125699e-003  1.024663820698e+000  -4.098655282793e+000  -3.587134386704e-001  
  2.628340148587e-003  1.030684482285e+000  -4.122737929142e+000  -3.608949330241e-001  
  2.629340171476e-003  1.036662326389e+000  -4.146649305556e+000  -3.630621792116e-001  
  2.630340194364e-003  1.042595305535e+000  -4.170381222139e+000  -3.652150916697e-001  
  2.631340217252e-003  1.048484485076e+000  -4.193937940303e+000  -3.673535854014e-001  
  2.632340240140e-003  1.054326178950e+000  -4.217304715799e+000  -3.694775759787e-001  
  2.633340263028e-003  1.060135582707e+000  -4.240542330826e+000  -3.715869795462e-001  
  2.634340285916e-003  1.065899478408e+000  -4.263597913630e+000  -3.736817128245e-001  
  2.635340308805e-003  1.071619328188e+000  -4.286477312751e+000  -3.757616931133e-001  
  2.636340331693e-003  1.077318261406e+000  -4.309273045623e+000  -3.778268382948e-001  
  2.637340354581e-003  1.082987093037e+000  -4.331948372148e+000  -3.798770668369e-001  
